Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa\achiupr01,C,22,TOR,29,707,11.6,.445,.150,.218,9.6,24.5,16.7,8.1,1.3,2.4,10.8,17.3,,-0.1,0.8,0.7,.049,,-2.7,-0.8,-3.4,-0.3
2,Steven Adams\adamsst01,C,28,MEM,40,1026,17.3,.561,.000,.581,17.4,21.4,19.4,15.0,1.6,2.1,20.5,12.7,,2.0,1.2,3.2,.150,,1.0,0.2,1.2,0.8
3,Bam Adebayo\adebaba01,C,24,MIA,18,592,19.4,.577,.004,.461,9.3,25.3,17.3,15.9,1.7,1.1,15.3,25.8,,0.9,0.9,1.8,.148,,0.9,1.1,1.9,0.6
4,Santi Aldama\aldamsa01,PF,21,MEM,22,240,9.2,.423,.412,.224,9.5,16.7,13.0,7.3,0.4,2.3,7.9,17.6,,0.0,0.2,0.1,.028,,-4.3,-2.4,-6.7,-0.3
5,LaMarcus Aldridge\aldrila01,C,36,BRK,29,663,20.5,.613,.120,.178,7.2,18.4,13.0,5.7,0.8,4.2,7.4,22.2,,1.4,0.8,2.3,.164,,1.7,-0.5,1.2,0.5
6,Nickeil Alexander-Walker\alexani01,SG,23,NOP,38,1030,10.7,.468,.493,.128,3.3,10.9,7.0,15.8,1.6,1.1,10.5,24.9,,-0.8,0.5,-0.3,-0.013,,-1.5,-1.8,-3.3,-0.3
7,Grayson Allen\allengr01,SG,26,MIL,36,1023,12.6,.572,.710,.115,1.7,10.6,6.2,6.7,1.3,1.4,5.8,16.6,,1.3,0.9,2.3,.107,,0.4,-0.4,0.0,0.5
8,Jarrett Allen\allenja01,C,23,CLE,34,1110,24.5,.717,.024,.435,11.5,24.0,18.0,9.1,1.4,4.0,13.4,18.2,,3.8,2.2,5.9,.257,,3.3,1.8,5.1,2.0
9,Jose Alvarado\alvarjo01,PG,23,NOP,14,101,11.4,.414,.552,.379,4.2,5.5,4.8,22.0,3.9,0.9,5.6,15.2,,0.1,0.1,0.2,.075,,-2.2,2.2,0.0,0.1
10,Justin Anderson\anderju01,SF,28,TOT,6,77,8.5,.476,.789,.368,2.9,11.0,7.1,15.6,1.3,1.1,12.0,14.2,,0.0,0.1,0.1,.069,,-3.8,-0.3,-4.1,0.0
10,Justin Anderson\anderju01,SF,28,CLE,3,47,10.9,.666,.750,.500,0.0,13.3,6.9,17.2,1.1,0.0,17.0,11.0,,0.1,0.1,0.1,.140,,-2.9,0.4,-2.5,0.0
10,Justin Anderson\anderju01,SF,28,IND,3,30,4.7,.325,.818,.273,7.4,7.4,7.4,13.1,1.7,2.9,7.5,19.4,,-0.1,0.0,0.0,-0.043,,-5.2,-1.3,-6.5,0.0
11,Kyle Anderson\anderky01,PF,28,MEM,35,791,14.7,.508,.273,.212,4.2,20.9,12.4,16.1,2.4,2.4,11.5,16.9,,0.6,1.1,1.8,.108,,-0.5,1.3,0.8,0.5
12,Giannis Antetokounmpo\antetgi01,PF,27,MIL,34,1105,31.7,.616,.214,.569,6.2,30.3,18.5,34.4,1.6,4.4,12.7,34.8,,4.5,2.1,6.5,.284,,7.1,3.6,10.8,3.6
13,Thanasis Antetokounmpo\antetth01,SF,29,MIL,27,327,9.9,.491,.136,.296,9.8,14.8,12.3,8.0,1.9,1.8,15.7,14.2,,0.1,0.4,0.5,.075,,-4.8,0.6,-4.2,-0.2
14,Carmelo Anthony\anthoca01,PF,37,LAL,41,1108,14.4,.572,.573,.223,3.3,12.6,8.1,5.4,1.3,2.6,6.5,19.5,,1.4,1.0,2.4,.106,,0.4,-0.8,-0.3,0.5
15,Cole Anthony\anthoco01,PG,21,ORL,27,919,16.5,.535,.459,.253,1.6,17.5,9.5,29.4,1.3,0.6,12.7,27.1,,0.7,0.6,1.3,.067,,1.6,-0.8,0.8,0.7
16,OG Anunoby\anunoog01,SF,24,TOR,23,828,16.5,.553,.455,.198,4.0,11.7,7.6,10.2,2.2,1.1,8.2,22.5,,1.3,0.7,2.0,.119,,1.6,-0.4,1.2,0.7
17,Trevor Ariza\arizatr01,SF,36,LAL,7,116,10.6,.806,.929,.143,0.9,18.7,10.0,7.7,0.4,0.8,6.3,5.9,,0.2,0.1,0.3,.127,,0.1,-0.2,-0.1,0.1
18,D.J. Augustin\augusdj01,PG,34,HOU,31,464,10.2,.591,.705,.279,1.4,6.8,4.1,21.8,1.0,0.0,22.6,16.2,,0.3,-0.1,0.2,.021,,-1.2,-3.2,-4.3,-0.3
19,Deni Avdija\avdijde01,SF,21,WAS,41,942,11.4,.531,.462,.243,3.4,19.3,11.6,9.0,1.7,2.6,11.8,14.8,,0.3,1.0,1.3,.068,,-2.2,1.0,-1.2,0.2
20,Joel Ayayi\ayayijo01,SG,21,WAS,7,20,3.7,.167,.167,.000,5.6,10.7,8.2,25.6,0.0,0.0,0.0,13.3,,0.0,0.0,0.0,-0.092,,-4.0,-1.8,-5.8,0.0
21,Deandre Ayton\aytonde01,C,23,PHO,26,799,22.0,.650,.023,.259,10.0,26.9,18.7,7.8,1.1,2.4,11.6,20.5,,2.0,1.5,3.6,.214,,2.4,0.9,3.3,1.1
22,Udoka Azubuike\azubuud01,C,22,UTA,6,40,10.9,.765,.000,.400,5.7,15.5,10.8,0.0,1.2,4.2,25.4,8.5,,0.0,0.1,0.1,.097,,-2.7,0.7,-2.0,0.0
23,Marvin Bagley III\baglema01,PF,22,SAC,23,481,13.3,.488,.291,.233,12.2,23.3,17.7,4.3,0.7,1.0,7.8,18.3,,0.3,0.3,0.6,.063,,-1.1,-2.5,-3.7,-0.2
24,LaMelo Ball\ballla01,PG,20,CHO,35,1114,20.7,.542,.439,.175,5.2,19.4,12.1,36.2,2.5,1.3,14.6,27.9,,1.9,0.9,2.8,.121,,3.7,0.3,4.0,1.7
25,Lonzo Ball\balllo01,PG,24,CHI,33,1157,14.9,.573,.674,.068,3.1,14.1,8.6,19.9,2.6,2.3,16.8,17.1,,1.1,1.7,2.7,.113,,1.1,1.7,2.9,1.4
26,Mo Bamba\bambamo01,C,23,ORL,32,899,15.5,.535,.427,.104,8.5,23.6,16.0,8.7,1.4,6.7,12.5,16.6,,0.5,1.2,1.7,.089,,-0.9,1.2,0.3,0.5
27,Desmond Bane\banede01,SF,23,MEM,42,1256,17.0,.589,.489,.095,1.7,14.3,7.9,12.4,1.7,1.5,9.2,22.8,,2.2,1.2,3.5,.133,,2.5,-0.3,2.2,1.3
28,Dalano Banton\bantoda01,SF,22,TOR,32,380,9.8,.474,.222,.205,5.1,14.1,9.4,20.5,1.6,1.3,20.6,18.0,,-0.2,0.3,0.1,.017,,-3.3,-0.6,-3.9,-0.2
