Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa\achiupr01,C,22,TOR,29,17,24.4,3.3,8.1,.406,0.3,1.2,.257,3.0,6.9,.432,.425,1.0,1.8,.569,2.3,5.2,7.5,1.4,0.6,0.6,1.1,2.2,7.9
2,Steven Adams\adamsst01,C,28,MEM,40,40,25.7,2.6,5.0,.530,0.0,0.0,,2.6,5.0,.530,.530,1.7,2.9,.600,4.3,5.1,9.4,3.0,0.8,0.6,1.6,1.7,7.0
3,Bam Adebayo\adebaba01,C,24,MIA,18,18,32.9,7.0,13.5,.519,0.0,0.1,.000,7.0,13.4,.521,.519,4.7,6.2,.759,2.7,7.4,10.2,3.2,1.1,0.3,2.9,3.3,18.7
4,Santi Aldama\aldamsa01,PF,21,MEM,22,0,10.9,1.5,3.9,.376,0.2,1.6,.114,1.3,2.3,.560,.400,0.5,0.9,.579,1.0,1.7,2.7,0.6,0.1,0.3,0.4,1.0,3.6
5,LaMarcus Aldridge\aldrila01,C,36,BRK,29,10,22.9,5.7,10.1,.565,0.4,1.2,.343,5.3,8.9,.595,.586,1.5,1.8,.846,1.5,4.1,5.6,0.8,0.4,1.1,0.9,1.7,13.3
6,Nickeil Alexander-Walker\alexani01,SG,23,NOP,38,18,27.1,4.9,13.3,.371,2.1,6.6,.316,2.9,6.8,.424,.449,1.2,1.7,.708,0.8,2.7,3.5,2.6,0.9,0.3,1.7,1.8,13.2
7,Grayson Allen\allengr01,SG,26,MIL,36,35,28.4,4.1,9.9,.414,2.7,7.0,.389,1.4,2.9,.476,.552,1.0,1.1,.854,0.4,2.9,3.4,1.3,0.8,0.4,0.6,1.4,11.9
8,Jarrett Allen\allenja01,C,23,CLE,34,34,32.6,6.9,9.9,.699,0.0,0.2,.125,6.9,9.6,.713,.701,3.0,4.3,.705,3.4,7.5,10.9,1.8,0.9,1.5,1.8,1.8,16.9
9,Jose Alvarado\alvarjo01,PG,23,NOP,14,0,7.2,0.6,2.1,.276,0.4,1.1,.313,0.2,0.9,.231,.362,0.5,0.8,.636,0.3,0.4,0.6,1.1,0.6,0.1,0.1,0.9,2.0
10,Justin Anderson\anderju01,SF,28,TOT,6,0,12.8,1.0,3.2,.316,0.5,2.5,.200,0.5,0.7,.750,.395,1.0,1.2,.857,0.3,1.3,1.7,1.5,0.3,0.2,0.5,1.5,3.5
10,Justin Anderson\anderju01,SF,28,CLE,3,0,15.7,1.3,2.7,.500,0.7,2.0,.333,0.7,0.7,1.000,.625,1.0,1.3,.750,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3
10,Justin Anderson\anderju01,SF,28,IND,3,0,10.0,0.7,3.7,.182,0.3,3.0,.111,0.3,0.7,.500,.227,1.0,1.0,1.000,0.7,0.7,1.3,1.0,0.3,0.3,0.3,1.7,2.7
11,Kyle Anderson\anderky01,PF,28,MEM,35,7,22.6,3.3,7.4,.438,0.7,2.0,.338,2.6,5.4,.476,.485,1.1,1.6,.673,0.9,4.4,5.3,2.7,1.1,0.6,1.1,1.5,8.3
12,Giannis Antetokounmpo\antetgi01,PF,27,MIL,34,34,32.5,10.0,18.4,.541,1.1,3.9,.284,8.9,14.5,.611,.571,7.4,10.5,.700,1.9,9.6,11.4,6.0,1.1,1.4,3.4,3.2,28.4
13,Thanasis Antetokounmpo\antetth01,SF,29,MIL,27,5,12.1,1.4,3.0,.457,0.0,0.4,.091,1.3,2.6,.514,.463,0.6,0.9,.625,1.1,1.7,2.9,0.7,0.5,0.2,0.6,2.0,3.3
